Designator,Mid X,Mid Y,Rotation,Layer
MX18,53.848,-63.373,0.0,bottom
MX19,72.898,-63.373,0.0,bottom
MX2,72.898,-34.798,0.0,bottom
MX20,91.948,-63.373,0.0,bottom
MX21,110.998,-63.373,0.0,bottom
MX22,130.048,-63.373,0.0,bottom
MX23,149.098,-63.373,0.0,bottom
MX24,168.148,-63.373,0.0,bottom
MX25,187.198,-63.373,0.0,bottom
MX26,206.248,-63.373,0.0,bottom
MX27,225.298,-63.373,0.0,bottom
MX28,244.348,-63.373,0.0,bottom
MX29,263.398,-63.373,0.0,bottom
MX3,91.948,-34.798,0.0,bottom
MX30,291.973,-63.373,0.0,bottom
MX31,325.3105,-63.373,0.0,bottom
MX32,344.3605,-63.373,0.0,bottom
MX33,363.4105,-63.373,0.0,bottom
MX34,39.5605,-82.423,0.0,bottom
MX35,63.373,-82.423,0.0,bottom
MX36,82.423,-82.423,0.0,bottom
MX37,101.473,-82.423,0.0,bottom
MX38,120.523,-82.423,0.0,bottom
MX39,139.573,-82.423,0.0,bottom
MX4,110.998,-34.798,0.0,bottom
MX40,158.623,-82.423,0.0,bottom
MX41,177.673,-82.423,0.0,bottom
MX42,196.723,-82.423,0.0,bottom
MX43,215.773,-82.423,0.0,bottom
MX44,234.823,-82.423,0.0,bottom
MX45,253.873,-82.423,0.0,bottom
MX46,272.923,-82.423,0.0,bottom
MX47,296.7355,-82.423,0.0,bottom
MX48,325.3105,-82.423,0.0,bottom
MX49,344.3605,-82.423,0.0,bottom
MX5,130.048,-34.798,0.0,bottom
MX50,363.4105,-82.423,0.0,bottom
MX51,41.94175,-101.473,0.0,bottom
MX52,68.1355,-101.473,0.0,bottom
MX53,87.1855,-101.473,0.0,bottom
MX54,106.2355,-101.473,0.0,bottom
MX55,125.2855,-101.473,0.0,bottom
MX56,144.3355,-101.473,0.0,bottom
MX57,163.3855,-101.473,0.0,bottom
MX58,182.4355,-101.473,0.0,bottom
MX59,201.4855,-101.473,0.0,bottom
MX6,158.623,-34.798,0.0,bottom
MX60,220.5355,-101.473,0.0,bottom
MX61,239.5855,-101.473,0.0,bottom
MX62,258.6355,-101.473,0.0,bottom
MX63,289.59175,-101.473,0.0,bottom
MX64,46.70425,-120.523,0.0,bottom
MX65,77.6605,-120.523,0.0,bottom
MX66,96.7105,-120.523,0.0,bottom
MX67,115.7605,-120.523,0.0,bottom
MX68,134.8105,-120.523,0.0,bottom
MX69,153.8605,-120.523,0.0,bottom
MX7,177.673,-34.798,0.0,bottom
MX70,172.9105,-120.523,0.0,bottom
MX71,191.9605,-120.523,0.0,bottom
MX72,211.0105,-120.523,0.0,bottom
MX73,230.0605,-120.523,0.0,bottom
MX74,249.1105,-120.523,0.0,bottom
MX75,284.82925,-120.523,0.0,bottom
MX76,344.3605,-120.523,0.0,bottom
MX77,37.17925,-139.573,0.0,bottom
MX78,60.99175,-139.573,0.0,bottom
MX79,84.80425,-139.573,0.0,bottom
MX8,196.723,-34.798,0.0,bottom
MX80,156.24175,-139.573,0.0,bottom
MX81,227.67925,-139.573,0.0,bottom
MX82,251.49175,-139.573,0.0,bottom
MX83,275.30425,-139.573,0.0,bottom
MX84,299.11675,-139.573,0.0,bottom
MX85,325.3105,-139.573,0.0,bottom
MX86,344.3605,-139.573,0.0,bottom
MX87,363.4105,-139.573,0.0,bottom
MX9,215.773,-34.798,0.0,bottom
R1,51.59375,-34.13125,0.0,bottom
R2,120.65,-139.416249,270.0,bottom
R3,56.35625,-34.13125,180.0,bottom
R4,131.55,-124.9025,270.0,bottom
R5,129.9625,-124.902499,270.0,bottom
R6,140.2625,-108.78125,0.0,bottom
R7,140.2625,-110.18125,180.0,bottom
R8,140.2625,-111.98125,0.0,bottom
R9,132.252584,-142.045852,135.0,bottom
SW2,115.8875,-139.3875,0.0,bottom
SW3,146.3625,-109.95625,0.0,bottom
U1,36.51875,-49.21875,0.0,bottom
U2,117.475,-109.5375,180.0,bottom
U3,53.975,-38.1,180.0,bottom
U4,132.5625,-133.35625,90.0,bottom
U5,145.25625,-126.20625,270.0,bottom
Y1,134.303369,-143.66875,135.0,bottom
